"Eff_Date","Course_ID","Offer_Nbr","Primary_Component","Enrol_Component","Final_Exam","Sect_Size","Contact","SPlus_Templates_Reqd","Component"
"01/01/2017","004631","1","LEC","","N","20","3.000","1.00","PRA"
"01/01/2017","004684","1","PAP","","N","15","0.000","1.00","PAP"
"01/01/2017","004693","1","LEC","","Y","10","0.000","1.00","LEC"
"01/01/2017","004705","2","LEC","","Y","10","3.000","5.00","LEC"
"01/01/2017","004705","3","LEC","LEC","Y","10","3.000","5.00","LEC"
"01/01/2017","004724","1","LEC","LEC","Y","12","2.000","3.00","LEC"
"01/01/2017","004774","1","PRA","","N","20","5.000","1.00","PRA"
"01/01/2017","004774","1","PRA","","Y","60","2.000","1.00","LEC"
"01/01/2017","004785","1","LEC","","N","40","1.000","1.00","TUT"
"01/01/2017","004785","1","LEC","","N","40","4.000","1.00","PRA"
"01/01/2017","004785","1","LEC","","Y","40","2.000","1.00","LEC"
"01/01/2017","004806","1","LEC","TUT","N","30","1.000","1.00","TUT"
"01/01/2017","004806","1","LEC","TUT","Y","30","1.000","3.00","LEC"
"01/01/2017","004806","2","LEC","","N","30","1.000","1.00","TUT"
"01/01/2017","004806","2","LEC","","Y","30","1.000","3.00","LEC"
"01/01/2017","004853","1","LEC","","N","25","1.000","1.00","PRA"
"01/01/2017","004853","1","LEC","","N","25","1.000","1.00","TUT"
"01/01/2017","004853","1","LEC","","Y","25","1.000","2.00","LEC"
"01/01/2017","004880","1","LEC","","N","20","4.000","1.00","PRA"
"01/01/2017","004880","1","LEC","","Y","20","1.000","2.00","LEC"
"01/01/2017","004880","2","LEC","","N","20","4.000","1.00","PRA"
"01/01/2017","004880","2","LEC","","Y","20","1.000","2.00","LEC"
"01/01/2017","004945","1","LEC","","Y","10","1.000","1.00","LEC"
"01/01/2017","004949","1","LEC","LEC","N","40","4.000","1.00","PRA"
"01/01/2017","004949","1","LEC","LEC","Y","40","1.000","2.00","LEC"
"01/01/2017","004967","1","LEC","","N","180","1.000","1.00","TUT"
"01/01/2017","004967","1","LEC","","N","180","2.000","1.00","LAB"
"01/01/2017","004967","1","LEC","","Y","180","2.000","2.00","LEC"
"01/01/2017","004971","1","IND","IND","Y","50","0.000","1.00","IND"
"01/01/2017","004979","1","PRA","","Y","20","1.000","1.00","PRA"
"01/01/2017","005011","1","LEC","","Y","20","1.000","3.00","LEC"
"01/01/2017","005049","1","DST","DST","N","5","2.000","1.00","DST"
"01/01/2017","005058","1","LEC","","Y","100","6.000","3.00","LEC"
"01/01/2017","005090","1","LEC","","Y","35","3.000","2.00","LEC"
"01/01/2017","005104","1","LEC","WRK","Y","400","1.000","2.00","WRK"
"01/01/2017","005104","1","LEC","WRK","Y","400","1.000","3.00","LEC"
"01/01/2017","005139","1","LEC","LEC","N","10","1.000","3.00","SEM"
"01/01/2017","005139","1","LEC","LEC","N","50","2.000","2.00","LEC"
"01/01/2017","005141","1","LEC","LEC","N","30","1.000","1.00","WRK"
"01/01/2017","005141","1","LEC","LEC","Y","120","2.000","1.00","LEC"
"01/01/2017","005141","2","LEC","LEC","N","30","1.000","1.00","WRK"
"01/01/2017","005141","2","LEC","LEC","Y","120","2.000","1.00","LEC"
"01/01/2017","005156","1","LEC","","Y","10","0.000","1.00","LEC"
"01/01/2017","005174","1","THE","","N","40","1.000","1.00","THE"
"01/01/2017","005215","1","PJT","","N","5","0.000","1.00","PJT"
"01/01/2017","005215","2","PJT","","N","5","0.000","1.00","PJT"
"01/01/2017","005224","1","LEC","","N","33","4.000","1.00","PRA"
"01/01/2017","005224","1","LEC","","N","66","1.000","1.00","TUT"
"01/01/2017","005224","1","LEC","","N","66","1.000","2.00","LEC"
"01/01/2017","005230","1","LEC","","Y","25","1.000","3.00","LEC"
"01/01/2017","005234","1","SEM","","Y","20","1.000","1.00","SEM"
"01/01/2017","005295","1","PJT","","N","10","0.000","1.00","PJT"
"01/01/2017","005305","1","SEM","","N","20","2.000","2.00","SEM"
"01/01/2017","005340","1","TTN","TTN","N","10","1.000","1.00","TTN"
"01/01/2017","005344","1","LEC","","Y","5","1.000","3.00","LEC"
