"Acad_Group","Acad_Prog","Prog_Eff_Date","Acad_Plan","Eff_Date","Status","Descr","Short_Desc","Plan_Owner","Pct_Owned"
"ARTS","GDCRW","01/01/2015","GDCRWRG","01/01/2015","A","GDip.Creative Writing","GD.CrWrtg","Arts FAO","100.000"
"ARTS","GDEDS","01/01/2015","GDEDSEC","01/01/2015","A","GDip.Education (Secondary)","GD.Ed(Sec)","Arts FAO","100.000"
"ARTS","GDEPM","01/01/2015","GDENVP&M","01/01/2015","A","GDip.Env Policy & Management","GD.EP&M","Arts FAO","100.000"
"ARTS","GDEST","01/01/2010","GDENVST","01/01/2010","I","GDip.Environmental Studies","GD.EnvSt","H&SS FAO","100.000"
"ARTS","GDFS","01/01/2015","GDFOODST","01/01/2015","A","GDip.Food Studies","GD.Food St","Arts FAO","100.000"
"ARTS","GDGAS","01/01/2015","GDGASTRON","01/01/2015","A","Le Cordon Bleu Grad. Dip.Gast.","LCBGrD.Gas","Arts FAO","100.000"
"ARTS","GDIST","01/01/2015","GDINTST","01/01/2015","A","GDip.International Studies","GD.IntSt","Arts FAO","100.000"
"ARTS","GDJST","01/04/2000","GDJAPANST","01/01/1901","I","GDip.Japanese Studies","GD.JapanSt","H&SS FO","100.000"
"ARTS","GDLAN","01/04/2000","GDLANG","01/01/1901","I","GDip.Languages","GD.Lang","H&SS FO","100.000"
"ARTS","GDLOG","01/04/2000","GDLOGIC","01/01/1901","I","GDip.Logic","GD.Logic","H&SS FO","100.000"
"ARTS","GDLST","14/01/2005","GDLABST","14/01/2005","I","GDip.Labour Studies","GD.LabSt","H&SS FO","100.000"
"ARTS","GDPAF","14/01/2005","GDPUBAFF","14/01/2005","I","GDip.Public Affairs","GD.PubAff","H&SS FO","100.000"
"ARTS","GDPHI","01/04/2000","GDPHILOS","01/01/1901","I","GDip.Philosophy","GD.Philos","H&SS FO","100.000"
"ARTS","GDPHR","01/01/2010","GDPOP&HUM","01/01/2010","I","GDip.Pop & Migration Studies","GD.Pop&MS","H&SS FAO","100.000"
"ARTS","GDSIS","01/01/2015","GDSIS","01/01/2015","A","GDip.Spatial Info Science","GD.SIS","Arts FAO","100.000"
"ARTS","GDSSC","14/01/2005","GDSOCSCI","14/01/2005","I","GDip.Social Sciences","GD.SocSci","H&SS FO","100.000"
