"Eff_Date","Course_ID","Offer_Nbr","Offering_Acad_Org","Owner_Acad_Org","Pct_Owned"
"01/01/2017","013241","1","MEDICINE","MEDICINE","89.500"
"01/01/2017","013241","1","MEDICINE","SCHBIOSCI","10.500"
"01/01/2017","013249","1","MEDICINE","",""
"01/01/2017","013253","1","MEDICINE","",""
"01/01/2017","013498","1","LINGUISTIC","",""
"01/01/2017","013552","1","CASM","",""
"01/01/2017","013617","1","MATHSCI","",""
"01/01/2017","013617","2","MATHSCI","",""
"01/01/2017","013637","1","MEDSCI","",""
"01/01/2017","013637","2","MEDSCI","",""
"01/01/2017","013643","1","SCHPHYSCI","",""
"01/01/2017","013643","2","SCHPHYSCI","",""
"01/01/2017","013643","3","SCHPHYSCI","",""
"01/01/2017","013762","1","MEDICINE","",""
"01/01/2017","013916","1","CASM","",""
"01/01/2017","013987","1","CASM","",""
"01/01/2017","014055","1","DENTAL","",""
"01/01/2017","014242","1","FRENCHSTUD","",""
"01/01/2017","014344","1","CASM","",""
"01/01/2017","014514","1","DENTAL","",""
"01/01/2017","014592","1","DENTAL","",""
"01/01/2017","014831","1","DENTAL","",""
"01/01/2017","014935","1","DENTAL","",""
"01/01/2017","014979","1","CASM","",""
"01/01/2017","015011","1","CASM","",""
"01/01/2017","015104","1","PSYCHOLOGY","",""
"01/01/2017","015174","1","MATHSCI","",""
"01/01/2017","015234","1","CASM","",""
"01/01/2017","015340","1","ELDERCON","",""
"01/01/2017","015385","1","CASM","",""
"01/01/2017","015692","1","DENTAL","",""
"01/01/2017","015700","1","MATHSCI","SCHBIOSCI","50.000"
"01/01/2017","015700","1","MATHSCI","MATHSCI","50.000"
"01/01/2017","015782","1","MATHSCI","MATHSCI","50.000"
"01/01/2017","015782","1","MATHSCI","COMPSCI","50.000"
"01/01/2017","015875","1","CASM","",""
"01/01/2017","015904","1","DENTAL","",""
"01/01/2017","015927","1","DENTAL","",""
"01/01/2017","016089","1","SCHPHYSCI","",""
"01/01/2017","016101","1","CASM","",""
"01/01/2017","016142","1","MEDICINE","",""
"01/01/2017","016154","1","DENTAL","",""
"01/01/2017","016201","1","ECONOMICSS","",""
"01/01/2017","016235","1","CASM","",""
"01/01/2017","016473","1","BUSSCH","",""
"01/01/2017","016608","1","CASM","",""
"01/01/2017","016676","1","MATHSCI","",""
"01/01/2017","016760","1","DENTAL","",""
"01/01/2017","016841","1","CASM","",""
"01/01/2017","016878","1","SCHPHYSCI","",""
"01/01/2017","016878","2","SCHPHYSCI","",""
"01/01/2017","017183","1","PUBLICHLTH","",""
"01/01/2017","017183","2","PUBLICHLTH","",""
"01/01/2017","017212","1","CASM","",""
"01/01/2017","017312","1","SCHPHYSCI","",""
"01/01/2017","017312","2","SCHPHYSCI","",""
"01/01/2017","017515","1","MATHSCI","MATHSCI","50.000"
"01/01/2017","017515","1","MATHSCI","COMPSCI","50.000"
"01/01/2017","017813","1","ARTHIST","",""
"01/01/2017","017813","2","ARTHIST","",""
"01/01/2017","017850","1","DENTAL","",""
"01/01/2017","017918","1","CASM","",""
"01/01/2017","018078","1","MEDICINE","SCHBIOSCI","7.500"
"01/01/2017","018078","1","MEDICINE","MEDICINE","92.500"
"01/01/2017","018097","1","MEDICINE","",""
"01/01/2017","018117","1","SCINCESFO","",""
"01/01/2017","018117","2","SCINCESFO","",""
"01/01/2017","018122","1","CASM","",""
"01/01/2017","018146","1","MEDICINE","",""
"01/01/2017","018431","1","GERMANSTUD","",""
